,SPXdaily
1927-12-30,
1928-01-03,0.0056465423882100406
1928-01-04,-0.0022548488204992413
1928-01-05,-0.00963999581170861
1928-01-06,0.006248302243997687
1928-01-09,-0.009101314246345636
1928-01-10,-0.007456243105932622
1928-01-11,-0.0011521314306674206
1928-01-12,0.006892560512110837
1928-01-13,0.006276825352051741
1928-01-16,-0.016633534724933417
1928-01-17,0.0005780861681660345
1928-01-18,-0.002314758044981371
1928-01-19,0.006928376644563231
1928-01-20,0.005737307927544269
1928-01-23,0.009111623661911863
1928-01-24,0.0039604014401655825
1928-01-25,-0.010786309821221356
1928-01-26,0.006258854180034595
1928-01-27,0.0033976250125249256
1928-01-30,-0.011370275670294094
1928-01-31,0.0045636131684952015
1928-02-01,-0.0022791462207988195
1928-02-02,0.005688183710072802
1928-02-03,-0.013131733467796598
1928-02-06,0.0028694997345416226
1928-02-07,-0.0005732301347434599
1928-02-08,0.0028628132102293227
1928-02-09,0.0034246039013056885
1928-02-10,-0.0005698489752381151
1928-02-14,-0.005717568136296749
1928-02-15,-0.0022962695997981266
1928-02-16,-0.0028776998276149467
1928-02-17,-0.018028926306254345
1928-02-20,-0.005295687263106266
1928-02-21,0.009395253525946298
1928-02-23,0.001168107609456724
1928-02-24,0.002914662597198477
1928-02-27,-0.004082770206655313
1928-02-28,0.00291794771036222
1928-02-29,0.005810591595465744
1928-03-01,0.002314758044981495
1928-03-02,0.0
1928-03-05,0.015486458498742459
1928-03-06,0.005675384132599232
1928-03-07,-0.005106394074574251
1928-03-08,0.003407101632270391
1928-03-09,0.016306293727740274
1928-03-12,0.0038964702791231594
1928-03-13,-0.004454350349380197
1928-03-14,0.0005578800702569709
1928-03-15,0.00777781698709557
1928-03-16,0.010459770562685355
1928-03-19,0.005461564491751282
1928-03-20,0.005431735244949837
1928-03-21,0.010239971186300857
1928-03-22,-0.0026845653706688757
1928-03-23,0.009630946309095995
1928-03-26,0.014274522051018652
1928-03-27,-0.0057909085230290576
1928-03-28,-0.0026435119808869375
1928-03-29,0.00317135572352814
1928-03-30,0.017264356750735628
1928-04-02,-0.01937745837925187
1928-04-03,0.00580017444687817
1928-04-04,-0.0015785322930498378
1928-04-05,0.012559034776494055
1928-04-09,0.0020779228255866132
1928-04-10,-0.00886114737369079
1928-04-11,0.017644515420036644
1928-04-12,-0.0015444532917019552
1928-04-13,0.016351922853605184
1928-04-16,-0.0025374284104165983
1928-04-17,-0.008163310639160981
1928-04-18,0.0
1928-04-19,0.0056193763609869146
1928-04-20,-0.01488346732078519
1928-04-23,-0.009872774398493284
1928-04-24,0.00520834510713826
1928-04-25,0.004147232486446168
1928-04-26,0.007216474802799255
1928-04-27,0.010728123601068536
1928-04-30,0.0035505997230236056
1928-05-01,0.0015178854035510943
1928-05-02,0.002524565781022603
1928-05-03,0.00503019169299879
1928-05-04,0.015434710194561392
1928-05-07,0.008364132402488638
1928-05-08,-0.006883016357844833
1928-05-09,-0.0014811160446438854
1928-05-10,-0.0014833624841915302
1928-05-11,0.007394758863161235
1928-05-14,0.003921573460947139
1928-05-15,-0.002449278716467762
1928-05-16,-0.016815431665448556
1928-05-17,0.003485291056061104
1928-05-18,-0.009990142776874189
1928-05-21,-0.014665294810518863
1928-05-22,-0.013849823844611238
1928-05-23,0.019944357845808714
1928-05-24,0.00605761554371963
1928-05-25,0.001508624839596137
1928-05-28,-0.01672195032246173
1928-05-29,0.012693747493856981
1928-05-31,0.009040744652149024
1928-06-01,0.003493889254255838
1928-06-04,-0.01354427561280898
1928-06-05,0.0025221199377616597
1928-06-06,-0.009617892414178937
1928-06-07,-0.002546423516376228
1928-06-08,-0.012314162157515077
1928-06-11,-0.03627209624443263
1928-06-12,-0.018368965972377797
1928-06-13,0.029548161747035503
1928-06-14,0.00843442050391591
1928-06-15,-0.01640677226899422
1928-06-18,-0.01830961219533618
1928-06-19,-0.0032661977866210697
1928-06-20,0.012462908536295695
1928-06-21,-0.000538701885871625
1928-06-22,-0.0010780594036025053
1928-06-25,-0.0037828740058446883
1928-06-26,0.011305692731400937
1928-06-27,0.009589897426882862
1928-06-28,0.01107308938474828
1928-06-29,0.0036639141658751672
1928-07-02,-0.008394540596420969
1928-07-03,0.016201085576186217
1928-07-05,0.009801419456420915
1928-07-06,-0.004630880532805703
1928-07-09,0.0036036076888128483
1928-07-10,-0.001542761981047564
1928-07-11,-0.02501427909046613
1928-07-12,-0.007415394149155923
1928-07-13,0.007942853934531802
1928-07-16,-0.013807866747782978
1928-07-17,0.0053332393079374195
1928-07-18,0.012159917212251315
1928-07-19,-0.002104209032469731
1928-07-20,0.002104209032469732
1928-07-23,0.004718226067844937
1928-07-24,-0.0015703221868527165
1928-07-25,0.005745693379411729
1928-07-26,0.002081114120492513
1928-07-27,0.009312017625618615
1928-07-30,0.0025713051598597126
1928-07-31,-0.002056504633690082
1928-08-01,-0.0005148005261698025
1928-08-02,-0.004645169642939516
1928-08-03,0.0015508402810827354
1928-08-06,0.011299503601042126
1928-08-07,-0.004607123582894862
1928-08-08,-0.012390452785676126
1928-08-09,0.0025939833635737703
1928-08-10,-0.0025939833635737495
1928-08-13,0.002075818024174872
1928-08-14,-0.008329147579723197
1928-08-15,0.017617036844793807
1928-08-16,0.00716492317960545
1928-08-17,0.0015285608071773076
1928-08-20,0.006597385172704024
1928-08-21,0.012566136704548897
1928-08-22,-0.0009995003330834993
1928-08-23,0.0009995003330834232
1928-08-24,0.015857616733339488
1928-08-27,0.0019645881064503635
1928-08-28,0.00782027445903845
1928-08-29,0.0019454772200007816
